来源作者,期刊,年度(期),标题,作者,机构,下载量,页码,页数,大小
彭红枫1,世界经济研究 .,2024 (11),资本账户双向开放能否激发企业绿色创新?,彭红枫 万洋 王文浩,山东财经大学金融学院,下载：1328,页码：3-17+135,页数：16,大小：255K
彭红枫1,山东社会科学 .,2024 (10),金融高水平开放助力中国式现代化:作用机理、现实困境与推进路径,"彭红枫1,2 商璨3",1.武汉大学 2.山东财经大学 3.武汉大学经济与管理学院,下载：512,页码：15-25,页数：11,大小：1410K
彭红枫1,金融监管研究 .,2024 (07),加快建设金融强国助推新质生产力发展（下）,"龚六堂1,2,3 吴卫星4 彭红枫5 梁子敏5",1.北京大学数理经济与数理金融教育部重点实验室 2.北京大学光华管理学院 3.北京工商大学 4.首都经济贸易大学金融学院 5.山东财经大学金融学院,下载：935,页码：1-15,页数：15,大小：1288K
彭红枫1,当代经济科学 .,"2024 ,46 (04)",资本市场开放对系统性金融风险的影响——基于跨国面板数据的检验,彭红枫1 张容菁2,1.山东财经大学金融学院 2.中国海洋大学经济学院,下载：1738,页码：27-40,页数：14,大小：1158K
彭红枫1,国际贸易问题 .,2024 (06),区域全面经济伙伴关系协定的经济效应研究——基于改进的TERGM的分析,彭红枫1 常晓君1 王雪童2,1.山东财经大学金融学院 2.山东省德州市人大常委会办公厅,下载：1525,页码：106-122,页数：17,大小：1059K
彭红枫1,统计研究 .,"2024 ,41 (01)",RCEP成员国农产品贸易网络的动态结构及其影响因素分析,彭红枫 王雪童 马世群,山东财经大学金融学院,下载：3377,页码：71-84,页数：14,大小：1026K
彭红枫1,经济评论 .,2023 (05),“双碳”目标下的宏观经济稳定与减排措施研究,肖祖沔 彭红枫 尹智超 王文浩,山东财经大学金融学院,下载：1240,页码：17-33,页数：17,大小：1580K
彭红枫1,国际金融研究 .,2023 (09),浮动汇率制下货币政策独立性差异——基于外汇市场缓冲器视角的分析,彭红枫 张榛岂 梁子敏 王雪童,山东财经大学金融学院,下载：944,页码：64-75,页数：12,大小：1200K
彭红枫1,世界经济 .,"2022 ,45 (12)",政策协同与经济增长：基于“一带一路”沿线国家的分析,彭红枫1 余静文2,1.山东财经大学金融学院 2.武汉大学经济发展研究中心,下载：3640,页码：29-51,页数：23,大小：1126K
彭红枫1,国际金融研究 .,2022 (11),全球资本管制的动态变化——基于GKAOPEN资本账户开放指标体系的分析,彭红枫1 尹智超1 肖祖沔1 余静文2,1.山东财经大学金融学院 2.武汉大学经济与管理学院金融系,下载：1019,页码：3-18,页数：16,大小：2502K
彭红枫1,会计与经济研究 .,"2022 ,36 (04)",中国碳交易市场间的动态溢出效应研究,彭红枫 马世群,山东财经大学金融学院,下载：1653,页码：74-92,页数：19,大小：1949K
彭红枫1,山东教育 .,2022 (16),理论与实践相结合，助推金融人才培养,彭红枫 王倩,山东财经大学金融学院,下载：56,页码：31-32,页数：2,大小：1395K
彭红枫1,证券市场导报 .,2022 (03),资本市场双向开放如何影响我国股票定价效率？,彭红枫 万洋,山东财经大学金融学院,下载：2788,页码：22-32,页数：11,大小：1367K
彭红枫1,经济与管理评论 .,"2021 ,37 (05)",“双循环”新发展格局的金融支持研究,彭红枫 梁子敏,山东财经大学金融学院,下载：4017,页码：5-20,页数：16,大小：1425K
彭红枫1,经济评论 .,2021 (04),融资约束视角下非公有制企业的“党建红利”,尹智超 彭红枫 肖祖沔 王营,山东财经大学金融学院,下载：1531,页码：3-19,页数：17,大小：581K
彭红枫1,山东财经大学学报 .,"2021 ,33 (04)",论五卅运动对民族金融发展的影响,彭红枫 于露,山东财经大学金融学院,下载：397,页码：5-12,页数：8,大小：364K
彭红枫1,金融研究 .,2021 (02),双边出口全球价值链实际有效汇率弹性理论测度及解析,彭红枫 刘海莹,山东财经大学金融学院,下载：1445,页码：56-74,页数：19,大小：820K
